code,name,date,weight
000930,中粮生化,2017-06-01,0.26
002342,巨力索具,2017-06-01,0.22
600039,四川路桥,2017-06-01,0.2
600086,东方金钰,2017-06-01,0.21
601880,大连港,2017-06-01,0.24
601801,皖新传媒,2017-06-01,0.15
600108,亚盛集团,2017-06-01,0.18
600805,悦达投资,2017-06-01,0.13
600993,马应龙,2017-06-01,0.17
600748,上实发展,2017-06-01,0.11
603806,福斯特,2017-06-01,0.07
002390,信邦制药,2017-06-01,0.23
000680,山推股份,2017-06-01,0.14
002093,国脉科技,2017-06-01,0.09
600596,新安股份,2017-06-01,0.11
600743,华远地产,2017-06-01,0.11
603567,珍宝岛,2017-06-01,0.08
600176,中国巨石,2017-06-01,0.33
600536,中国软件,2017-06-01,0.15
000939,凯迪生态,2017-06-01,0.21
600881,亚泰集团,2017-06-01,0.26
000961,中南建设,2017-06-01,0.2
600251,冠农股份,2017-06-01,0.09
600380,健康元,2017-06-01,0.18
600521,华海药业,2017-06-01,0.34
600481,双良节能,2017-06-01,0.13
603883,老百姓,2017-06-01,0.13
600751,天海投资,2017-06-01,0.2
300287,飞利信,2017-06-01,0.18
000552,靖远煤电,2017-06-01,0.13
002503,搜于特,2017-06-01,0.17
000861,海印股份,2017-06-01,0.11
600466,蓝光发展,2017-06-01,0.19
002254,泰和新材,2017-06-01,0.15
600759,洲际油气,2017-06-01,0.19
002657,中科金财,2017-06-01,0.15
600067,冠城大通,2017-06-01,0.18
000488,晨鸣纸业,2017-06-01,0.29
600874,创业环保,2017-06-01,0.22
000566,海南海药,2017-06-01,0.3
002249,大洋电机,2017-06-01,0.06
600410,华胜天成,2017-06-01,0.2
300147,香雪制药,2017-06-01,0.13
002250,联化科技,2017-06-01,0.21
600765,中航重机,2017-06-01,0.16
600651,飞乐音响,2017-06-01,0.15
002233,塔牌集团,2017-06-01,0.11
600284,浦东建设,2017-06-01,0.16
002665,首航节能,2017-06-01,0.25
000652,泰达股份,2017-06-01,0.15
002589,瑞康医药,2017-06-01,0.19
601311,骆驼股份,2017-06-01,0.16
600587,新华医疗,2017-06-01,0.15
600687,刚泰控股,2017-06-01,0.21
600426,华鲁恒升,2017-06-01,0.33
600138,中青旅,2017-06-01,0.31
600825,新华传媒,2017-06-01,0.1
002064,华峰氨纶,2017-06-01,0.13
600307,酒钢宏兴,2017-06-01,0.23
601777,力帆股份,2017-06-01,0.14
600614,鹏起科技,2017-06-01,0.31
002238,天威视讯,2017-06-01,0.06
002416,爱施德,2017-06-01,0.08
600628,新世界,2017-06-01,0.12
002444,巨星科技,2017-06-01,0.22
000878,云南铜业,2017-06-01,0.26
002028,思源电气,2017-06-01,0.25
600267,海正药业,2017-06-01,0.17
002573,清新环境,2017-06-01,0.32
002217,合力泰,2017-06-01,0.21
002251,步 步 高,2017-06-01,0.09
600259,广晟有色,2017-06-01,0.15
600397,安源煤业,2017-06-01,0.07
600880,博瑞传播,2017-06-01,0.13
600497,驰宏锌锗,2017-06-01,0.27
002508,老板电器,2017-06-01,0.56
002261,拓维信息,2017-06-01,0.21
600312,平高电气,2017-06-01,0.26
300032,金龙机电,2017-06-01,0.12
601233,桐昆股份,2017-06-01,0.12
600158,中体产业,2017-06-01,0.26
000969,安泰科技,2017-06-01,0.11
002038,双鹭药业,2017-06-01,0.3
600517,置信电气,2017-06-01,0.14
600143,金发科技,2017-06-01,0.25
600198,大唐电信,2017-06-01,0.21
600757,长江传媒,2017-06-01,0.12
600151,航天机电,2017-06-01,0.17
600282,南钢股份,2017-06-01,0.17
603019,中科曙光,2017-06-01,0.26
002672,东江环保,2017-06-01,0.23
000723,美锦能源,2017-06-01,0.07
002029,七 匹 狼,2017-06-01,0.12
002123,梦网荣信,2017-06-01,0.14
002194,武汉凡谷,2017-06-01,0.06
603077,和邦生物,2017-06-01,0.16
603025,大豪科技,2017-06-01,0.03
000006,深振业Ａ,2017-06-01,0.22
002437,誉衡药业,2017-06-01,0.16
300159,新研股份,2017-06-01,0.3
000563,陕国投Ａ,2017-06-01,0.16
002056,横店东磁,2017-06-01,0.15
000418,小天鹅Ａ,2017-06-01,0.29
600418,江淮汽车,2017-06-01,0.27
600487,亨通光电,2017-06-01,0.58
000661,长春高新,2017-06-01,0.43
600120,浙江东方,2017-06-01,0.21
600315,上海家化,2017-06-01,0.42
600736,苏州高新,2017-06-01,0.13
603169,兰石重装,2017-06-01,0.11
000078,海王生物,2017-06-01,0.26
600750,江中药业,2017-06-01,0.17
601002,晋亿实业,2017-06-01,0.11
600300,维维股份,2017-06-01,0.16
000426,兴业矿业,2017-06-01,0.12
002022,科华生物,2017-06-01,0.2
600435,北方导航,2017-06-01,0.27
600483,福能股份,2017-06-01,0.09
002011,盾安环境,2017-06-01,0.2
300001,特锐德,2017-06-01,0.17
600160,巨化股份,2017-06-01,0.26
002414,高德红外,2017-06-01,0.09
300257,开山股份,2017-06-01,0.17
600720,祁连山,2017-06-01,0.13
002155,湖南黄金,2017-06-01,0.18
600329,XD中新药,2017-06-01,0.13
000158,常山股份,2017-06-01,0.21
000970,中科三环,2017-06-01,0.29
000543,皖能电力,2017-06-01,0.16
600195,中牧股份,2017-06-01,0.11
002266,浙富控股,2017-06-01,0.18
000631,顺发恒业,2017-06-01,0.08
600292,远达环保,2017-06-01,0.12
002285,世联行,2017-06-01,0.17
600260,凯乐科技,2017-06-01,0.28
000612,焦作万方,2017-06-01,0.18
000960,锡业股份,2017-06-01,0.23
600770,综艺股份,2017-06-01,0.15
000090,天健集团,2017-06-01,0.18
000697,炼石有色,2017-06-01,0.25
600503,XD华丽家,2017-06-01,0.26
000758,中色股份,2017-06-01,0.21
600073,上海梅林,2017-06-01,0.16
000975,银泰资源,2017-06-01,0.22
002325,洪涛股份,2017-06-01,0.14
603328,依顿电子,2017-06-01,0.08
002018,华信国际,2017-06-01,0.16
002431,棕榈股份,2017-06-01,0.25
600058,五矿发展,2017-06-01,0.14
600187,国中水务,2017-06-01,0.18
603528,多伦科技,2017-06-01,0.07
002727,一心堂,2017-06-01,0.12
002041,登海种业,2017-06-01,0.12
000897,津滨发展,2017-06-01,0.17
600545,新疆城建,2017-06-01,0.16
600388,龙净环保,2017-06-01,0.33
000636,风华高科,2017-06-01,0.13
300122,智飞生物,2017-06-01,0.24
600088,中视传媒,2017-06-01,0.06
002051,中工国际,2017-06-01,0.24
