time,price,pchange,change,volume,amount,type
14:19:15,8.18,+0.99,0.0,6,4908,sell
14:19:03,8.18,+0.99,0.0,106,86708,sell
14:18:57,8.18,+0.99,0.0,26,21268,sell
14:18:54,8.18,+0.99,-0.01,12,9816,sell
14:18:51,8.19,+1.11,0.01,42,34398,buy
14:18:45,8.18,+0.99,0.0,3,2454,sell
14:18:15,8.18,+0.99,0.0,1,818,sell
14:18:06,8.18,+0.99,0.0,11,8998,sell
14:18:03,8.18,+0.99,-0.01,1,818,sell
14:18:00,8.19,+1.11,0.01,19,15561,buy
14:17:57,8.18,+0.99,0.0,9,7362,sell
14:17:48,8.18,+0.99,-0.01,5,4090,sell
14:17:45,8.19,+1.11,0.0,40,32760,buy
14:17:33,8.19,+1.11,0.01,139,113841,buy
14:17:24,8.18,+0.99,-0.01,10,8180,sell
14:17:18,8.19,+1.11,0.01,18,14742,buy
14:17:15,8.18,+0.99,0.0,6,4908,sell
14:17:06,8.18,+0.99,0.0,10,8180,sell
14:16:42,8.18,+0.99,0.0,15,12270,sell
14:16:30,8.18,+0.99,0.0,3,2454,sell
14:16:15,8.18,+0.99,0.0,20,16360,sell
14:16:00,8.18,+0.99,0.0,27,22086,sell
14:15:57,8.18,+0.99,0.0,12,9816,sell
14:15:45,8.18,+0.99,0.0,5,4090,sell
14:15:27,8.18,+0.99,0.0,11,8998,norm
14:15:27,8.18,+0.99,-0.01,11,8998,sell
14:14:54,8.19,+1.11,0.0,1,819,buy
14:14:48,8.19,+1.11,0.0,6,4914,buy
14:14:45,8.19,+1.11,0.0,47,38493,sell
14:14:42,8.19,+1.11,0.0,78,63882,sell
14:14:33,8.19,+1.11,0.0,5,4095,sell
14:14:18,8.19,+1.11,0.0,11,9009,sell
14:14:15,8.19,+1.11,0.0,17,13923,sell
14:14:12,8.19,+1.11,0.01,193,158067,buy
14:14:06,8.18,+0.99,0.0,24,19632,sell
14:14:03,8.18,+0.99,0.0,3,2454,sell
14:14:00,8.18,+0.99,0.0,14,11452,sell
14:13:57,8.18,+0.99,-0.01,9,7362,sell
14:13:42,8.19,+1.11,0.0,20,16380,sell
14:13:36,8.19,+1.11,0.0,6,4914,sell
14:13:30,8.19,+1.11,-0.01,3,2457,sell
14:13:18,8.2,+1.23,0.01,20,16400,buy
14:13:12,8.19,+1.11,0.0,1,819,sell
14:13:09,8.19,+1.11,0.0,51,41769,sell
14:13:06,8.19,+1.11,0.0,1,819,sell
14:13:03,8.19,+1.11,0.0,101,82719,sell
14:12:57,8.19,+1.11,0.0,7,5733,sell
14:12:54,8.19,+1.11,0.0,300,245700,sell
14:12:48,8.19,+1.11,0.0,11,9009,sell
