,time,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
44,2011-03-08,306970.010772,795739.258782,0.004913596797018215,1102709.269554,1097317.493831,1107929.661258,9.0,-1.8230391807544644
45,2011-03-09,295623.430372,795739.258782,-0.010289729771283515,1091362.689154,1091362.689154,1107929.661258,9.0,-1.8230391807544644
46,2011-03-10,282332.59600300004,795739.258782,-0.012178201161799664,1078071.854785,1078071.854785,1107929.661258,9.0,-2.6949189571382983
47,2011-03-11,292352.895166,795739.258782,0.009294648699458482,1088092.1539480002,1078071.854785,1107929.661258,9.0,-2.6949189571382983
48,2011-03-14,306038.722447,795739.258782,0.012577820023187029,1101777.981229,1078071.854785,1107929.661258,12.0,-2.6949189571382983
49,2011-03-15,308373.731484,795739.258782,0.0021193099488113405,1104112.990266,1078071.854785,1107929.661258,13.0,-2.6949189571382983
50,2011-03-16,310636.35034299997,795739.258782,0.0020492638696832416,1106375.609125,1078071.854785,1107929.661258,14.0,-2.6949189571382983
51,2011-03-17,328586.888141,795739.258782,0.016224632620197212,1124326.146923,1124326.146923,1124326.146923,14.0,-2.6949189571382983
52,2011-03-18,324132.207842,795739.258782,-0.003962089035455798,1119871.466624,1119871.466624,1124326.146923,14.0,-2.6949189571382983
53,2011-03-21,333444.731343,795739.258782,0.008315707452636264,1129183.990125,1129183.990125,1129183.990125,14.0,-2.6949189571382983
54,2011-03-22,334197.180881,795739.258782,0.0006663657513569886,1129936.439663,1129936.439663,1129936.439663,14.0,-2.6949189571382983
55,2011-03-23,337467.698794,795739.258782,0.0028944264457703606,1133206.9575760001,1133206.9575760001,1133206.9575760001,14.0,-2.6949189571382983
56,2011-03-24,342188.138357,795739.258782,0.004165558225213503,1137927.397139,1137927.397139,1137927.397139,14.0,-2.6949189571382983
57,2011-03-25,346660.270891,795739.258782,0.003930068425493592,1142399.529673,1142399.529673,1142399.529673,14.0,-2.6949189571382983
58,2011-03-28,346457.097813,795739.258782,-0.00017784765550300603,1142196.356595,1142196.356595,1142399.529673,14.0,-2.6949189571382983
59,2011-03-29,340787.10134,795739.258782,-0.004964117106714241,1136526.360122,1136526.360122,1142399.529673,14.0,-2.6949189571382983
60,2011-03-30,344752.73685800005,795739.258782,0.003489259604655633,1140491.99564,1136526.360122,1142399.529673,14.0,-2.6949189571382983
61,2011-03-31,355942.668108,795739.258782,0.009811494769606471,1151681.92689,1151681.92689,1151681.92689,14.0,-2.6949189571382983
62,2011-04-01,361313.056739,795739.258782,0.004663083187822647,1157052.315521,1157052.315521,1157052.315521,14.0,-2.6949189571382983
63,2011-04-04,381973.500039,795739.258782,0.01785610125216951,1177712.758821,1177712.758821,1177712.758821,14.0,-2.6949189571382983
64,2011-04-05,377721.453777,795739.258782,-0.0036104272711256708,1173460.7125590001,1173460.7125590001,1177712.758821,14.0,-2.6949189571382983
65,2011-04-06,402466.656554,795739.258782,0.021087372173745234,1198205.915336,1198205.915336,1198205.915336,14.0,-2.6949189571382983
66,2011-04-07,397652.16512200003,795739.258782,-0.004018083511672429,1193391.423904,1193391.423904,1198205.915336,14.0,-2.6949189571382983
67,2011-04-08,384019.443025,795739.258782,-0.011423512708347369,1179758.701807,1179758.701807,1198205.915336,14.0,-2.6949189571382983
68,2011-04-11,397507.36257600004,795739.258782,0.011432778186201299,1193246.6213580002,1179758.701807,1198205.915336,14.0,-2.6949189571382983
69,2011-04-12,385014.12279100006,795739.258782,-0.010469956135959567,1180753.381573,1179758.701807,1198205.915336,14.0,-2.6949189571382983
70,2011-04-13,382269.902438,795739.258782,-0.0023241266091857515,1178009.1612200001,1178009.1612200001,1198205.915336,14.0,-2.6949189571382983
71,2011-04-14,377990.117684,795739.258782,-0.00363306576458862,1173729.376466,1173729.376466,1198205.915336,14.0,-2.6949189571382983
72,2011-04-15,390529.841914,795739.258782,0.010683658841151357,1186269.100696,1173729.376466,1198205.915336,14.0,-2.6949189571382983
73,2011-04-18,369601.784401,795739.258782,-0.01764191404860938,1165341.043183,1165341.043183,1198205.915336,14.0,-2.742840085527706
74,2011-04-19,375725.14431800006,795739.258782,0.005254564706890345,1171464.4031000002,1165341.043183,1198205.915336,14.0,-2.742840085527706
75,2011-04-20,432147.130913,795739.258782,0.048163637278002124,1227886.389695,1227886.389695,1227886.389695,14.0,-2.742840085527706
76,2011-04-21,427539.99982500006,795739.258782,-0.0037520825433566183,1223279.258607,1223279.258607,1227886.389695,14.0,-2.742840085527706
77,2011-04-25,448370.828414,795739.258782,0.017028677991909023,1244110.087196,1244110.087196,1244110.087196,14.0,-2.742840085527706
78,2011-04-26,463573.92312299996,795739.258782,0.012220055817781465,1259313.181905,1259313.181905,1259313.181905,14.0,-2.742840085527706
79,2011-04-27,457612.800694,795739.258782,-0.004733629818741686,1253352.059476,1253352.059476,1259313.181905,14.0,-2.742840085527706
80,2011-04-28,461973.406934,795739.258782,0.0034791551240783754,1257712.6657160001,1253352.059476,1259313.181905,14.0,-2.742840085527706
81,2011-04-29,482660.8056610001,795739.258782,0.01644842998795986,1278400.0644430001,1278400.0644430001,1278400.0644430001,14.0,-2.742840085527706
82,2011-05-02,471079.05855399993,795739.258782,-0.009059563926137838,1266818.317336,1266818.317336,1278400.0644430001,14.0,-2.742840085527706
83,2011-05-03,457191.913144,795739.258782,-0.01096222340643388,1252931.1719260002,1252931.1719260002,1278400.0644430001,14.0,-2.742840085527706
84,2011-05-04,440216.282956,795739.258782,-0.013548733217248712,1235955.541738,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
85,2011-05-05,448859.57859299995,795739.258782,0.006993209177124544,1244598.8373750001,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
86,2011-05-06,452172.904338,795739.258782,0.0026621636189121125,1247912.1631200002,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
87,2011-05-09,469133.99933,795739.258782,0.013591577591161695,1264873.258112,1235955.541738,1278400.0644430001,14.0,-3.3201283295846236
